product_id,product_name,brand,ingredient,condition,severity_level,skin_type,product_type,price,rating,image_url
407,SPF 50 Sunscreen,La Shield,SPF Moisturizer,Darkspots,Moderate,All,Sunscreen,499,4.3,product_images/407.jpg
408,Antioxidant Serum,Plum,Antioxidant Serum,Darkspots,Mild,All,Serum,650,4.2,product_images/408.jpg
409,Spot Corrector Cream,Garnier,Vitamin C Serum,Darkspots,Moderate,All,Cream,399,4,product_images/409.jpg
410,Brightening Cleanser,Minimalist,Mild Cleanser,Darkspots,Mild,All,Cleanser,299,4.1,product_images/410.jpg
501,Retinol Night Serum,Olay,Retinol,Wrinkles,Severe,Normal,Serum,1099,4.6,product_images/501.jpg
502,Peptide Firming Cream,Pilgrim,Peptides,Wrinkles,Moderate,Normal,Cream,799,4.4,product_images/502.jpg
503,Hydra Plump Serum,Minimalist,Hyaluronic Acid,Wrinkles,Mild,Normal,Serum,599,4.3,product_images/503.jpg
504,Vitamin C 20% Serum,Plum,Vitamin C Serum,Wrinkles,Moderate,Normal,Serum,699,4.4,product_images/504.jpg
505,SPF 50 Sunscreen,La Shield,SPF Moisturizer,Wrinkles,Mild,Normal,Sunscreen,499,4.2,product_images/505.jpg
506,Anti Aging Cream,Lakme,Retinol,Wrinkles,Severe,Normal,Cream,899,4.3,product_images/506.jpg
507,Collagen Boost Serum,Dot & Key,Peptides,Wrinkles,Moderate,Normal,Serum,650,4.2,product_images/507.jpg
508,Daily Cleanser,Simple,Mild Cleanser,Wrinkles,Mild,Normal,Cleanser,325,4.1,product_images/508.jpg
509,Antioxidant Serum,Plum,Antioxidant Serum,Wrinkles,Mild,Normal,Serum,650,4.2,product_images/509.jpg
510,Night Repair Cream,Olay,Retinol,Wrinkles,Severe,Normal,Cream,1299,4.6,product_images/510.jpg
601,Deep Hydration Cream,Cetaphil,Ceramide Cream,Dry,Mild,Dry,Cream,799,4.5,product_images/601.jpg
602,Hyaluronic Boost Serum,Minimalist,Hyaluronic Acid,Dry,Moderate,Dry,Serum,599,4.4,product_images/602.jpg
603,Urea Moisture Cream,Fixderma,Urea Moisturizer,Dry,Moderate,Dry,Cream,550,4.3,product_images/603.jpg
604,Hydrating Cleanser,Simple,Mild Cleanser,Dry,Mild,Dry,Cleanser,325,4.1,product_images/604.jpg
605,SPF 30 Lotion,Nivea,SPF Moisturizer,Dry,Mild,Dry,Sunscreen,299,4.2,product_images/605.jpg
606,Night Repair Cream,Olay,Retinol,Dry,Moderate,Dry,Cream,999,4.3,product_images/606.jpg
607,Vitamin C Serum,Plum,Vitamin C Serum,Dry,Mild,Dry,Serum,499,4.1,product_images/607.jpg
608,Peptide Cream,Pilgrim,Peptides,Dry,Moderate,Dry,Cream,799,4.2,product_images/608.jpg
609,Barrier Repair Cream,Reequil,Ceramide Moisturizer,Dry,Severe,Dry,Cream,699,4.3,product_images/609.jpg
610,Intense Hydration Gel,Dot & Key,Hyaluronic Acid,Dry,Severe,Dry,Gel,450,4.2,product_images/610.jpg
701,Oil Control Cleanser,Minimalist,Salicylic Acid,Oily,Mild,Oily,Cleanser,299,4.2,product_images/701.jpg
702,Niacinamide 10% Serum,Plum,Niacinamide,Oily,Moderate,Oily,Serum,499,4.3,product_images/702.jpg
703,Matte Gel Moisturizer,Ponds,Gel Moisturizer,Oily,Mild,Oily,Gel,299,4,product_images/703.jpg
704,Acne Spot Gel,Galderma,Benzoyl Peroxide,Oily,Moderate,Oily,Gel,399,4.1,product_images/704.jpg
705,Adapalene Gel 0.1%,Galderma,Adapalene,Oily,Severe,Oily,Gel,550,4.5,product_images/705.jpg
706,Vitamin C Serum,Plum,Vitamin C Serum,Oily,Mild,Oily,Serum,499,4.1,product_images/706.jpg
707,Azelaic Acid Cream,The Derma Co,Azelaic Acid,Oily,Moderate,Oily,Cream,699,4.3,product_images/707.jpg
708,Oil Free Sunscreen,La Shield,SPF Moisturizer,Oily,Mild,Oily,Sunscreen,499,4.2,product_images/708.jpg
709,Pore Tightening Serum,Pilgrim,Niacinamide,Oily,Moderate,Oily,Serum,450,4.1,product_images/709.jpg
710,Sulfur Cleanser,Fixderma,Sulfur Cleanser,Oily,Severe,Oily,Cleanser,520,4.2,product_images/710.jpg
801,Daily Gentle Cleanser,Simple,Mild Cleanser,Normal,Mild,Normal,Cleanser,325,4.2,product_images/801.jpg
802,SPF 50 Sunscreen,La Shield,SPF Moisturizer,Normal,Mild,Normal,Sunscreen,499,4.3,product_images/802.jpg
803,Vitamin C Glow Serum,Plum,Vitamin C Serum,Normal,Moderate,Normal,Serum,599,4.4,product_images/803.jpg
804,Retinol Night Cream,Olay,Retinol,Normal,Moderate,Normal,Cream,999,4.5,product_images/804.jpg
805,Hydra Boost Gel,Dot & Key,Hyaluronic Acid,Normal,Mild,Normal,Gel,399,4.2,product_images/805.jpg
806,Peptide Serum,Minimalist,Peptides,Normal,Moderate,Normal,Serum,650,4.2,product_images/806.jpg
807,Antioxidant Serum,Minimalist,Antioxidant Serum,Normal,Mild,Normal,Serum,650,4.1,product_images/807.jpg
808,Niacinamide Serum,Pilgrim,Niacinamide,Normal,Moderate,Normal,Serum,499,4.3,product_images/808.jpg
809,Barrier Cream,Reequil,Ceramide Cream,Normal,Mild,Normal,Cream,699,4.2,product_images/809.jpg
810,Brightening Cleanser,Minimalist,Mild Cleanser,Normal,Mild,Normal,Cleanser,299,4.1,product_images/810.jpg
